Date	Close
2023-09-29	427.48
2023-10-02	427.31
2023-10-03	421.59
2023-10-04	424.66
2023-10-05	424.5
2023-10-06	429.54
2023-10-09	432.29
2023-10-10	434.54
2023-10-11	436.32
2023-10-12	433.66
2023-10-13	431.5
2023-10-16	436.04
2023-10-17	436.02
2023-10-18	430.21
2023-10-19	426.43
2023-10-20	421.19
2023-10-23	420.46
2023-10-24	423.63
2023-10-25	417.55
2023-10-26	412.55
2023-10-27	410.68
2023-10-30	415.59
2023-10-31	418.2
2023-11-01	422.66
2023-11-02	430.76
2023-11-03	434.69
2023-11-06	435.69
2023-11-07	436.93
2023-11-08	437.25
2023-11-09	433.84
2023-11-10	440.61
