,0
2020-01-01,2.8
2020-02-01,2.81
2020-03-01,2.65
2020-04-01,2.23
2020-05-01,2.08
2020-06-01,2.06
2020-07-01,2.35
2020-08-01,2.29
2020-09-01,2.08
2020-10-01,1.84
2020-11-01,1.8
2020-12-01,1.72
2021-01-01,1.52
2021-02-01,1.53
2021-03-01,1.71
2021-04-01,2.26
2021-05-01,2.62
2021-06-01,2.59
2021-07-01,2.32
2021-08-01,2.34
2021-09-01,2.64
2021-10-01,3.04
2021-11-01,3.21
2021-12-01,3.48
2022-01-01,3.99
2022-02-01,4.31
2022-03-01,4.56
2022-04-01,4.72
2022-05-01,4.99
2022-06-01,5.42
2022-07-01,5.63
2022-08-01,5.99
2022-09-01,6.39
2022-10-01,6.36
2022-11-01,6.47
2022-12-01,6.62
2023-01-01,6.55
2023-02-01,6.59
2023-03-01,6.45
2023-04-01,6.32
2023-05-01,6.0
2023-06-01,5.63
2023-07-01,5.46
2023-08-01,5.22
2023-09-01,5.01
2023-10-01,4.93
2023-11-01,4.73
